n,m,p,IPE_Setup,IPE_ENCODE_X,IPE_ENCODE_Y,IPE_Encrypt,IPE_Keygen,IPE_Decrypt
8,10,2,0.0003478926899999999,2.77362e-06,1.4606299999999998e-06,0.0006253517400000001,0.00035891426000000004,0.00508539365
8,10,4,0.00144501098,3.93489e-06,2.0343200000000003e-06,0.0013136520200000001,0.00149289991,0.031676532849999994
8,10,6,0.00456297718,5.04987e-06,2.566350000000001e-06,0.0017238194299999997,0.0009329730600000001,0.24696728829999998
8,10,8,0.011252818549999998,5.727689999999999e-06,3.048199999999999e-06,0.0018400223100000002,0.00126219385,2.29277008602
8,10,10,0.02576669842,6.805420000000002e-06,3.84951e-06,0.00276130546,0.0021377816100000002,26.073799089519998
16,10,2,0.0009118560799999998,4.1176400000000004e-06,2.25817e-06,0.0012595139799999999,0.0005094708399999999,0.007037029740000001
16,10,4,0.0069221546900000005,5.417899999999998e-06,3.0010700000000004e-06,0.0017249619299999999,0.0011061055200000001,0.03932634502
16,10,6,0.026073171510000003,6.7523799999999985e-06,4.190679999999999e-06,0.0025134495300000005,0.00179812361,0.32105694264999995
16,10,8,0.06752542248,8.54212e-06,5.24527e-06,0.00352907384,0.00260800751,3.5445900690600007
16,10,10,0.14356801769,1.0326499999999997e-05,6.40737e-06,0.00460669807,0.00351662282,33.50663688107
32,10,2,0.0034782021800000007,6.0770599999999995e-06,3.72277e-06,0.0012657397500000001,0.0008032906900000002,0.009110852800000003
32,10,4,0.043070084509999995,8.15187e-06,5.46889e-06,0.0029914368400000006,0.00218238644,0.06009682493000001
32,10,6,0.18155674556,1.210074e-05,7.698739999999997e-06,0.00518746225,0.00401245411,0.49235228229
32,10,8,0.48845235019,1.5990049999999998e-05,1.0201230000000002e-05,0.00803822613,0.00642092363,4.59870186246
32,10,10,1.04589986061,1.824325e-05,1.2974619999999999e-05,0.01091298562,0.00899073174,52.53512030137001
64,10,2,0.015033213090000002,7.37026e-06,5.296719999999999e-06,0.00205823041,0.0014300542800000002,0.013575148650000002
64,10,4,0.31115001960000005,1.4981959999999999e-05,1.038007e-05,0.0064776480400000015,0.005060628459999999,0.07953201582000002
64,10,6,1.4329595488900002,2.0378180000000003e-05,1.4948860000000002e-05,0.01216176082,0.010581782369999997,0.6548425982099999
64,10,8,3.885702414880001,2.794698e-05,2.078073e-05,0.01977932755,0.018099115210000002,7.211904961370001
64,10,10,8.19228559159,3.348719e-05,2.5849620000000005e-05,0.02996672137,0.027176856250000003,67.84902681854999
128,10,2,0.09682425311999998,1.3231650000000002e-05,9.69557e-06,0.00403880838,0.00303691645,0.01937359748
128,10,4,2.4609389971400004,2.6733589999999997e-05,2.0343629999999998e-05,0.01570855173,0.014084337210000002,0.12623928366
128,10,6,11.205677199889998,3.861796e-05,3.018098e-05,0.0352124526,0.031731973610000005,1.00957545293
128,10,8,30.38590880368,5.135302999999999e-05,4.093808e-05,0.06521385503999999,0.05893583983000001,9.32933879348
128,10,10,64.39809504888,6.22101e-05,5.018308e-05,0.10296218925,0.09437736158,105.84972128880001
