n,p,Encrypt,Keygen
8,2,0.016210294,0.016127124
8,4,0.033590302,0.033243688
8,6,0.050085890,0.050929793
8,8,0.066806630,0.068201525
8,10,0.083953063,0.085542968
16,2,0.024666547,0.024640822
16,4,0.058246225,0.059010802
16,6,0.092804205,0.095121509
16,8,0.126972408,0.133133448
16,10,0.162270755,0.172121262
32,2,0.041176869,0.041395711
32,4,0.110499535,0.114530328
32,6,0.183743124,0.195228102
32,8,0.260478971,0.284007173
32,10,0.342815269,0.379272954
64,2,0.150319656,0.077114420
64,4,0.443499557,0.238048571
64,6,0.765165573,0.430858666
64,8,1.131560754,0.662552770
64,10,1.510247355,0.916765857
128,2,0.293236350,0.154161450
128,4,0.948201531,0.543248093
128,6,1.736179712,1.069699505
128,8,2.654342796,1.742486594
128,10,3.786112370,2.601957265
